Leto,Teden,Hosp_Necepljeni,Hosp_Cepljeni,Kumulativa_Cepljeni_prebivalci,Necepljeni_prebivalci,%Hosp_necepljeni,%Hosp_cepljeni
2021,09,222,2,50738,2058239,10.79,3.94
2021,10,169,2,52851,2056126,8.22,3.78
2021,11,227,3,53806,2055171,11.05,5.58
2021,12,262,2,65768,2043209,12.82,3.04
2021,13,294,2,86985,2021992,14.54,2.30
2021,14,336,4,106937,2002040,16.78,3.74
2021,15,301,8,115312,1993665,15.10,6.94
2021,16,282,7,121827,1987150,14.19,5.75
2021,17,246,,124747,1984230,12.40,0.00
2021,18,214,7,149078,1959899,10.92,4.70
2021,19,157,7,179470,1929507,8.14,3.90
2021,20,117,4,221196,1887781,6.20,1.81
2021,21,85,2,261394,1847583,4.60,0.77
2021,22,73,6,296670,1812307,4.03,2.02
2021,23,52,3,343083,1765894,2.94,0.87
2021,24,30,5,412484,1696493,1.77,1.21
2021,25,14,,493891,1615086,0.87,0.00
2021,26,10,1,563105,1545872,0.65,0.18
2021,27,9,,609800,1499177,0.60,0.00
2021,28,3,1,663253,1445724,0.21,0.15
2021,29,5,1,719673,1389304,0.36,0.14
2021,30,14,,761540,1347437,1.04,0.00
2021,31,12,3,792640,1316337,0.91,0.38
2021,32,27,3,816937,1292040,2.09,0.37
2021,33,32,7,840405,1268572,2.52,0.83
2021,34,84,22,863466,1245511,6.74,2.55
2021,35,121,28,885031,1223946,9.89,3.16
2021,36,140,41,907426,1201551,11.65,4.52
2021,37,155,59,927902,1181075,13.12,6.36
2021,38,165,52,944726,1164251,14.17,5.50
2021,39,185,53,965598,1143379,16.18,5.49
2021,40,138,53,1000574,1108403,12.45,5.30
2021,41,136,48,1021343,1087634,12.50,4.70
2021,42,176,96,1041001,1067976,16.48,9.22
2021,43,261,139,1076853,1032124,25.29,12.91
2021,44,343,186,1099561,1009416,33.98,16.92
2021,45,402,191,1111418,997559,40.30,17.19
2021,46,419,185,1118343,990634,42.30,16.54
2021,47,391,166,1124277,984700,39.71,14.77
2021,48,347,120,1131108,977869,35.49,10.61
2021,49,257,85,1138461,970516,26.48,7.47
2021,50,217,63,1146088,962889,22.54,5.50
2021,51,207,42,1157460,951517,21.75,3.63
2021,52,199,57,1169788,939189,21.19,4.87
2022,01,196,61,1178364,930613,21.06,5.18
2022,02,179,68,1185963,923014,19.39,5.73
